oyun_adi,oyun_turu,gelistirici,puan,turkce_destegi,fiyat,yas,dil,ingilizce_destegi,dil_sayisi,platform
2Dark,"Korku, Bağımsız, Gizlilik, Hayatta Kalma - Korku, Strateji, Bulmaca, Aksiyon, Üstten Görünüş, Psikolojik Korku, Keşif, Tek Oyunculu, Psikedelik, Stilize, 2D, İzometrik, Piksel Grafikler, Üçüncü Şahıs, Voxel, Macera, Karanlık",Gloomywood,,0,14.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Japonca",1,8.0,Steam
Prince of Persia™: The Lost Crown - Mask of Darkness,"Aksiyon, Macera",Ubisoft Montpellier,,0,3.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Farsça",1,14.0,Steam
Drift86,"Yarış, Çok Oyunculu, Otomobil Simülasyonu, Basit Eğlence, Bağımsız, Arcade, Tek Oyunculu, Üçüncü Şahıs, Simülasyon, Kontrolcü, Rahatlatıcı, Retro, Renkli, Kısa, Aksiyon, Harika Müzik, Puan Yarışı, Yerel Çok Oyunculu, Koşu, Aile Dostu",RewindApp,90.0,1,1.49,0,"Türkçe, İngilizce, Fransızca, Kastilyaİspanyolcası, LatinAmerikaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, İtalyanca, Almanca, Japonca, BasitleştirilmişÇince, Macarca, Rumence",1,14.0,Steam
Bum Simulator,"Simülasyon, Macera, Aksiyon, Hayatta Kalma, Açık Dünya, Komik, Tek Oyunculu, Sandbox, Birinci Şahıs, Üs İnşa Etme, Eşli, Komedi, Meme'ler, Gerçekçi, İnşa Etme, Üretim, Fizik Tabanlı, Cinsel İçerik, Basit Eğlence, Kara Mizah",Ragged Games,85.0,1,2.39,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, Rusça, BasitleştirilmişÇince, BrezilyaPortekizcesi, Japonca, Korece",1,11.0,Steam
Digimon Survive,"Görsel Roman, Taktiksel RYO, Anime, JRYO, Zengin Hikâye, Sıra Tabanlı Taktik, Gizem, Tek Oyunculu, Dram, Psikolojik, Hayatta Kalma, Oyun Müziği, Duygusal, Metin Tabanlı, RYO, İzometrik, Sıra Tabanlı Strateji, Stratejik RYO, 2.5D, Simülasyon","HYDE, Inc.",80.0,0,2.98,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, BrezilyaPortekizcesi, GelenekselÇince, LatinAmerikaİspanyolcası",1,10.0,Steam
63 Days,"Strateji, Gerçek Zamanlı Taktik, Aksiyon Macera, 2. Dünya Savaşı, GZS, İzometrik, Gerçekçi, Üstten Görünüş, Askerî, Atmosferik, Gizlilik, Eşli, Tek Oyunculu, Tarihsel, Taktiksel, Savaş, Çatışma, Çevrimiçi Eşli Oyun, Eşli Ana Görev, Zengin Hikâye",Destructive Creations,50.0,1,17.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, BasitleştirilmişÇince, GelenekselÇince, Rusça",1,12.0,Steam
When The Past Was Around,"Gizli Nesne, Sevimli, Kadın Karakter, Rahatlatıcı, Gerçeküstü, İnteraktif Kurgu, 2D, Tek Oyunculu, Point & Click, Bulmaca, Soyut, Zengin Hikâye, Romantik, Basit Eğlence, Renkli, Elle Çizilmiş, Felsefi, Stilize, Atmosferik, Müzik",Mojiken,90.0,1,4.49,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Korece, Rusça, Vietnamca, Japonca, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası, Portekizce-Portekiz, BasitleştirilmişÇince, Lehçe, Endonezce",1,15.0,Steam
Retail Company Simulator,"Yaşam Simülatörü, Çevrimiçi Eşli Oyun, Dükkân Sahibi, Simülasyon, Basit Eğlence, Sandbox, Tasarım ve İllüstrasyon, Yönetim, Sürükleyici Simülasyon, Ekonomi, Çok Oyunculu, Gerçekçi, Eşli, Tek Oyunculu, Kapitalizm, Aile Dostu, Kaynak Yönetimi, Envanter Yönetimi, Takas, Bağımsız","Business Tycoon, Timeless Rush",,1,1.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rumence, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Tayca, Ukraynaca, Vietnamca, Çekçe, Felemenkçe, Macarca",1,20.0,Steam
STONKS-9800: Stock Market Simulator,"Erken Erişim, Ekonomi, Simülasyon, Anime, Yaşam Simülatörü, Atmosferik, 1980'ler, Yönetim, Metin Tabanlı, Zaman Yönetimi, Piksel Grafikler, Retro, Kumar, Kapitalizm, Kendi Maceranı Seç, Görsel Roman, Önemli Seçimler, 1990'lar, Birden Fazla Son, Eski Usul",TERNOX,97.0,0,2.38,0,"Türkçe, İngilizce, Ukraynaca, Japonca, Korece, BrezilyaPortekizcesi, BasitleştirilmişÇince, GelenekselÇince",1,7.0,Steam
MotoGP™22,"Yarış, Simülasyon, Spor, Bölünmüş Ekran, Birinci Şahıs, Çok Oyunculu, Kontrolcü, Motosiklet ve bisiklet, Üçüncü Şahıs, PvP, Yerel Çok Oyunculu, Tek Oyunculu, Motosiklet",Milestone S.r.l.,91.0,0,29.99,3,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, BrezilyaPortekizcesi, BasitleştirilmişÇince, Tayca, GelenekselÇince",1,10.0,Steam
Party Hard,"Piksel Grafikler, Gizlilik, Strateji, Şiddet, Bağımsız, Kötü Ana Karakter, Aksiyon, Vahşet, Harika Müzik, Tek Oyunculu, Kara Mizah, 2D, Suç, Retro, Zor, Üstten Görünüş, Komik, Korku, Zengin Hikâye, Komedi","Pinokl Games, Kverta",92.0,0,5.79,16,"Türkçe, İngilizce, Rusça, Almanca, Kastilyaİspanyolcası, Rumence, Fransızca, Ukraynaca, Japonca, BrezilyaPortekizcesi, BasitleştirilmişÇince",1,10.0,Steam
Nubby's Number Factory,"Rogue-like, Strateji, Arcade, Gerçeküstü, Tek Oyunculu, Psikolojik Korku, Stilize, Deste Oluşturma, Bağımsız, 2D, Retro, Bağımlılık Yapıcı, Hiciv, Sadece Fare, Rogue-lite, Kumar, Basit Eğlence, 1990'lar, Korku, Cinsel İçerik",MogDogBlog Productions,96.0,0,2.99,0,"Türkçe, İngilizce, BrezilyaPortekizcesi, Danca",1,3.0,Steam
Gedonia 2,"Erken Erişim, RYO, Sandbox, Aksiyon RYO, Keşif, CRPG, 3D, Sevimli, Üçüncü Şahıs, Stilize, Renkli, Eski Usul, Fantezi, PvE, Karakter Kişiselleştirme, Takım Tabanlı, Açık Dünya, Çok Oyunculu, Tek Oyunculu, Eşli",Kazakov Oleg,81.0,0,7.99,0,"Türkçe, İngilizce, Rusça",1,2.0,Steam
SnowRunner - Western Star 49X,"Macera, Simülasyon, Yarış",Saber Interactive,,0,2.23,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Deep Rock Galactic - Dawn of the Dread Pack,"Aksiyon, Cüce",Ghost Ship Games,,1,1.34,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca, İtalyanca, Japonca, Korece, LatinAmerikaİspanyolcası, Macarca, Rumence",1,16.0,Steam
DEATH NOTE Killer Within,"Strateji, Basit Eğlence, Sosyal Çıkarım, Çok Oyunculu, Kelime Oyunu, Üstten Görünüş, Psikolojik, Anime, Sürükleyici Simülasyon, Noir, Karanlık, Hayatta Kalma, PvP, Karakter Kişiselleştirme, Taktiksel",Grounding Inc.,77.0,0,13.19,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, GelenekselÇince, Japonca, Korece",1,8.0,Steam
Cities: Skylines - Concerts,"Strateji, Simülasyon",Colossal Order,,0,5.49,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince",1,8.0,Steam
Deep Rock Galactic - Dark Future Pack,"Aksiyon, Cüce, Bağımsız",Ghost Ship Games,,1,1.34,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca, İtalyanca, Japonca, Korece, LatinAmerikaİspanyolcası, Macarca, Rumence",1,16.0,Steam
Warhammer: Vermintide 2 - Necromancer Career,"Bağımsız, Aksiyon, Vahşet, Şiddet",Fatshark,,0,1.24,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince",1,9.0,Steam
ENDLESS™ Dungeon - Definitive Edition,"Aksiyon, Kule Savunması, Rogue-like, Dungeon Crawler, Strateji, Aksiyon RYO, Rogue-lite, Aksiyon Roguelike, Çift Analoglu Nişancı, Gizemli Zindan, Taktiksel RYO, Eşli, Bilim Kurgu, Oyun Müziği, Tekrar Oynanabilir, Üstten Görünüş, 3D, PvE, Çok Oyunculu, Prosedürel Oluşturma",AMPLITUDE Studios,75.0,0,4.19,12,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BasitleştirilmişÇince, GelenekselÇince, BrezilyaPortekizcesi, Rusça",1,11.0,Steam
Crown Wars: The Black Prince,"RYO, Strateji, Sıra Tabanlı Strateji, Sıra Tabanlı, Tek Oyunculu, Sıra Tabanlı Savaş, Macera, Karakter Kişiselleştirme, Sıra Tabanlı Taktik, Taktiksel, Orta Çağ, Fantezi, Şiddet, Taktiksel RYO, Karanlık Fantezi, Tarihsel, 3D, Zengin Hikâye, Zor, Kadın Karakter",Artefacts Studio,80.0,0,19.99,16,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,11.0,Steam
Anno 1602 History Edition,"Strateji, Simülasyon, Şehir Kurma, Koloni Simülatörü, Büyük Strateji, GZS, Sıra Tabanlı Strateji, Aksiyon GZS, Keşif, Siyaset Simülatörü, İnşa Etme, Ekonomi, Tarihsel, Yönetim, Orta Çağ, Savaş, Kaynak Yönetimi, Eşli, Çok Oyunculu, Tek Oyunculu",Ubisoft Mainz,,0,7.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Lehçe, Rusça",1,8.0,Steam
Anno 1503 History Edition,"Simülasyon, Strateji, Şehir Kurma, Koloni Simülatörü, Büyük Strateji, GZS, Sıra Tabanlı Strateji, Aksiyon GZS, Keşif, Siyaset Simülatörü, İnşa Etme, Ekonomi, Tarihsel, Yönetim, Orta Çağ, Savaş, Kaynak Yönetimi, Eşli, Çok Oyunculu, Tek Oyunculu",Ubisoft Mainz,,0,7.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Lehçe, Rusça",1,8.0,Steam
Beat Cop,"Piksel Grafikler, Bağımsız, Retro, Macera, Simülasyon, 1980'ler, Suç, Tek Oyunculu, Dedektif, Komedi, Önemli Seçimler, 2D, Point & Click, Zengin Hikâye, Şiddet, Cinsel İçerik, Kötü Ana Karakter, Harika Müzik, Birden Fazla Son, Kediler",Pixel Crow,79.0,1,0.79,0,"Türkçe, İngilizce, Lehçe, Almanca, Kastilyaİspanyolcası, BrezilyaPortekizcesi, Rusça, Fransızca, Japonca, BasitleştirilmişÇince, İtalyanca, Korece",1,11.0,Steam
SnowRunner - Season 5: Build & Dispatch,"Simülasyon, Macera, Aksiyon",Saber Interactive,,0,3.24,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, GelenekselÇince, Korece, Japonca, Lehçe, BrezilyaPortekizcesi, Rusça, Çekçe",1,13.0,Steam
SnowRunner - Season 9: Renew & Rebuild,"Simülasyon, Macera, Aksiyon",Saber Interactive,,0,3.24,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Temtem,"Eşli, Çok Oyunculu, Yaratık Toplama, Sıra Tabanlı Savaş, RYO, Zengin Hikâye, Macera, PvE, PvP, Sıra Tabanlı Taktik, Devasa Çok Oyunculu RYO, Karakter Kişiselleştirme, Collectathon, Çizgi Filmvari, Anime, JRYO, Keşif, 3D, Renkli, Sevimli",Crema,62.0,0,22.49,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, BasitleştirilmişÇince, BrezilyaPortekizcesi, GelenekselÇince",1,9.0,Steam
SnowRunner - Season 6: Haul & Hustle,"Simülasyon, Macera, Aksiyon",Saber Interactive,,0,3.24,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Tofas Sahin: Online Car Driving,"Aksiyon, Yarış, Simülasyon, Otomobil Simülasyonu, Devasa Çok Oyunculu, Sürükleyici Simülasyon, Çok Oyunculu, Bağımsız, 3D, Gerçekçi, Araç Kullanma, Komik, PvP, Açık Dünya, Tek Oyunculu, Kontrolcü","Yusuf Islam Seyhan, Samet Acar",,1,0.44,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, Portekizce-Portekiz, Rumence, Bulgarca, Çekçe, Danca, Felemenkçe, Fince, Yunanca, Macarca, Japonca, Korece, Norveççe, Rusça, BasitleştirilmişÇince, İsveççe, Tayca, GelenekselÇince, Ukraynaca, Vietnamca",1,25.0,Steam
Rain World: Downpour,"Macera, Bağımsız, Aksiyon, Simülasyon, Zor, Hayatta Kalma, Atmosferik, Harika Müzik, Keşif, Açık Dünya, 2D, Piksel Grafikler, Güzel, Eşli, Platform, Yerel Eşli Oyun, İlişki Simülatörü, Sevimli, Psikolojik Korku, Çok Oyunculu","Videocult, Akupara Games",100.0,0,4.39,0,"Türkçe, İngilizce, İtalyanca, Kastilyaİspanyolcası, BrezilyaPortekizcesi, Fransızca, Almanca, Japonca, Korece, Rusça, BasitleştirilmişÇince",1,10.0,Steam
Tropico 6 - Return to Nature,"Strateji, Şehir Kurma, Simülasyon, Ekonomi, Yönetim, Siyaset Simülatörü, Çok Oyunculu, Sandbox, Politika, İnşa Etme, Tek Oyunculu, Politik, Komik, Önemli Seçimler, Eşli, Diplomasi, Yıkım, Atmosferik, Zengin Hikâye, Üstten Görünüş",Realmforge Studios,,0,11.04,16,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Rusça, Korece, BrezilyaPortekizcesi, BasitleştirilmişÇince, Arapça, Japonca",1,11.0,Steam
9 Monkeys of Shaolin,"Çevrimiçi Eşli Oyun, 3D, Üçüncü Şahıs, Ninja, Renkli, Beat 'em up, Zengin Hikâye, Dövüş Sanatları, Aksiyon, Macera, Eşli, Yerel Eşli Oyun, Dövüş, Side Scroller, Retro, Karakter Kişiselleştirme, Bağımsız, Hack and Slash, 1990'lar, Tek Oyunculu",Sobaka Studio,,0,1.98,12,"Türkçe, İngilizce, Rusça, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, Japonca",1,8.0,Steam
Emily Wants to Play Too,"Korku, Aksiyon, Bağımsız, Macera, Strateji, Çok Oyunculu, Hayatta Kalma - Korku, Simülasyon, Birinci Şahıs, Psikolojik Korku, Tek Oyunculu, VR",Shawn Hitchcock,,0,4.49,0,"Türkçe, İngilizce",1,1.0,Steam
Little Girl On Earth Asking Why She Asking Why,"Görsel Roman, Psikolojik Korku, Piksel Grafikler, Felsefi, Birden Fazla Son, Bağımsız, Dram, Kendi Maceranı Seç, Point & Click, İnteraktif Kurgu, Metin Tabanlı, Sevimli, Kalıcı Ölüm, Önemli Seçimler, Psikedelik, Anime, Atmosferik, Macera, Retro, Tek Oyunculu","senpi, Nolly",,0,0.89,0,"Türkçe, İngilizce, Fransızca, Kastilyaİspanyolcası, Lehçe, İtalyanca, BasitleştirilmişÇince, Almanca",1,7.0,Steam
Halls of Torment - The Boglands,"Aksiyon, RYO, Bağımsız, Şiddet",Chasing Carrots,,0,1.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Çekçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Ukraynaca, GelenekselÇince, Vietnamca",1,17.0,Steam
Ship Graveyard Simulator 2 - Steel Giants DLC,"Simülasyon, Bağımsız, Basit Eğlence, Aksiyon, Yıkım, Keşif, Yönetim, Gerçekçi, İnşa Etme, Birinci Şahıs, Rahatlatıcı, Macera, Sandbox, Envanter Yönetimi, Atmosferik, Aile Dostu, Üretim, Eğitici, Aksiyon Macera, Denizcilik","Games Incubator, Hypnotic Ants",,1,2.35,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,12.0,Steam
September 7th,"Korku, Keşif, Yürüme Simülatörü, Psikolojik Korku, Birinci Şahıs, 3D Platform, 3D, Simülasyon, Lineer, Gerçekçi, Psikedelik, Atmosferik, Psikolojik, Sinematik, Eski Usul, Tek Oyunculu, Retro, Bağımsız, Çok Oyunculu, 1990'lar",EMIKA_GAMES,95.0,1,1.41,0,"Türkçe, İngilizce, Rusça, BrezilyaPortekizcesi, Almanca, Yunanca, Kastilyaİspanyolcası, Fransızca, Lehçe, İtalyanca",1,9.0,Steam
Fischer's Fishing Journey,"Idler, Kediler, Yaratık Toplama, Basit Eğlence, Balıkçılık, Yardımcı Uygulamalar, Sevimli, Rahatlatıcı, 2D, Bağımsız, Point & Click, Sohbet, Elle Çizilmiş, Atmosferik, Tek Oyunculu, Anime, Renkli, Aile Dostu, Komik, Zengin Hikâye",Cutefish,92.0,1,1.59,0,"Türkçe, İngilizce, BasitleştirilmişÇince, Japonca, Almanca, Rusça, GelenekselÇince, Korece, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası, Fransızca",1,10.0,Steam
HITMAN 3 - Trinity Pack,"Macera, Aksiyon, Vahşet, Şiddet, Gizlilik, Nişancı, TPS, Gerçekçi, Tek Oyunculu, Sandbox",IO Interactive A/S,,0,2.99,18,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,9.0,Steam
Expansion - Crusader Kings II: Legacy of Rome,Strateji,Paradox Interactive,,0,2.99,0,"Türkçe, İngilizce",1,1.0,Steam
Dust Raiders,"Bağımsız, Macera, Kıyamet Sonrası, Simülasyon, Strateji, Gerçek Zamanlı Taktik, Takas, Yönetim, Keşif, Ekonomi, Savaşlı Yarış, Araç Kullanma, GZS, 2.5D, Üstten Görünüş, Araçlı Savaş, Aksiyon, Elle Çizilmiş, Çatışma, Sıra Tabanlı Taktik",Vixa Games,,0,8.49,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, Lehçe, Rusça",1,7.0,Steam
SD GUNDAM BATTLE ALLIANCE,"Mech'ler, Aksiyon RYO, Robotlar, Hack and Slash, PvE, Anime, RYO, Zengin Evren, Üçüncü Şahıs, Çevrimiçi Eşli Oyun, Alternatif Tarih, Aksiyon, Çok Oyunculu, Bilim Kurgu, Animasyon ve Modelleme, Tek Oyunculu, Uzay, Eşli, Beat 'em up, Çatışma",ARTDINK,62.0,0,32.99,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Tayca, BrezilyaPortekizcesi, BasitleştirilmişÇince, GelenekselÇince, Japonca, Korece, LatinAmerikaİspanyolcası",1,12.0,Steam
Buggos 2,"Strateji, Simülasyon, Üs İnşa Etme, Şehir Kurma, Koloni Simülatörü, Auto Battler, GZS, İnşa Etme, Yönetim, Tek Oyunculu, Şiddet, Vahşet, Kötü Ana Karakter",Intrepid Marmot,74.0,0,10.49,0,"Türkçe, İngilizce, Almanca, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası",1,5.0,Steam
Worshippers of Cthulhu,"Koloni Simülatörü, Sandbox, Lovecraft Temalı, Yönetim, Şehir Kurma, Strateji, Üs İnşa Etme, Simülasyon, İnşa Etme, Korku, Doğaüstü, Karanlık Fantezi, Ekonomi, Alternatif Tarih, İblisler, Zengin Evren, Tek Oyunculu, Atmosferik, Karanlık, İzometrik",Crazy Goat Games,40.0,0,12.49,0,"Türkçe, İngilizce, Almanca, BasitleştirilmişÇince, Japonca, Lehçe, Rusça, GelenekselÇince, Kastilyaİspanyolcası, Fransızca",1,9.0,Steam
Wanderlust: Transsiberian,"İnteraktif Kurgu, Anlatı, Deneysel, Önemli Seçimler, Minimalist, Görsel Roman, Yetişkinler İçin, Rahatlatıcı, Metin Tabanlı, Psikolojik, Kendi Maceranı Seç, Duygusal, Felsefi, Sohbet, Lineer Olmayan, Macera, Bağımsız, Atmosferik, Deneyim, Kısa",Different Tales,,0,1.61,0,"Türkçe, İngilizce",1,1.0,Steam
CARIMARA: Beneath the forlorn limbs,"Zengin Hikâye, Gizem, Keşif, Macera, Korku, 3D, Atmosferik, Yürüme Simülatörü, Önemli Seçimler, Bağımsız, Birinci Şahıs, İnteraktif Kurgu, Dedektif, Kart Oyunu, Karanlık, Deneysel, Gerçeküstü, Sinematik, LGBTİ+, Tek Oyunculu",Bastinus Rex,97.0,1,2.06,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince, Ukraynaca",1,15.0,Steam
Dead Finger Dice,"Zar, Rogue-like, Kartlı Savaş, Point & Click, Rogue-lite, Bulmaca, 2D, Elle Çizilmiş, Piksel Grafikler, Kara Mizah, İblisler, Distopya, Fantezi, Korku, Yönetim, Strateji, Hiciv, Basit Eğlence, Üretim, Deste Oluşturma",Rocket Adrift Games,65.0,0,1.19,0,"Türkçe, İngilizce, Fransızca, Almanca, Japonca, Lehçe, BasitleştirilmişÇince, Korece, BrezilyaPortekizcesi, Rusça, LatinAmerikaİspanyolcası, Ukraynaca, GelenekselÇince",1,12.0,Steam
Graveyard Keeper - Game Of Crone,"Simülasyon, RYO, Macera, Bağımsız, Piksel Grafikler, Yönetim, Çiftçilik, Orta Çağ",Lazy Bear Games,,0,5.79,0,"Türkçe, İngilizce, Fransızca, Almanca, BasitleştirilmişÇince, Kastilyaİspanyolcası, BrezilyaPortekizcesi, Korece, Japonca, Rusça, İtalyanca, Lehçe",1,11.0,Steam
Cities: Skylines - Harumi Nights FM,"Şehir Kurma, Simülasyon, İnşa Etme, Yönetim, Strateji, Sandbox, Tek Oyunculu, Modlanabilir, Ekonomi, Kaynak Yönetimi, Mod, Gerçekçi, Tekrar Oynanabilir, Basit Eğlence, Modern, Durdurulabilir Gerçek Zamanlı, Aile Dostu, Harika Müzik, Komik, Aksiyon",Paradox Interactive,,0,2.99,3,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, Korece",1,9.0,Steam
Stray Gods: Orpheus,"Macera, Birden Fazla Son, İnteraktif Kurgu, Mitoloji, Fantezi, Komedi, Zengin Hikâye, Çizgi Roman, Komik, Sinematik, Atmosferik, Tek Oyunculu, Stilize, Kendi Maceranı Seç, Romantik, Elle Çizilmiş",Summerfall Studios,,0,5.79,0,"Türkçe, İngilizce, Fransızca, Almanca, Japonca, BasitleştirilmişÇince, LatinAmerikaİspanyolcası",1,6.0,Steam
Clash: Artifacts of Chaos,"Aksiyon, Macera, RYO, Tek Oyunculu, Souls-like, Aksiyon RYO, Üçüncü Şahıs, Atmosferik, Fantezi, Zengin Hikâye, Keşif, Gerçeküstü, Bağımsız, Oyun Müziği, Çatışma, Aksiyon Macera, Renkli, Dövüş Sanatları, Stilize, Beat 'em up",ACE Team,74.0,0,14.99,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, LatinAmerikaİspanyolcası",1,13.0,Steam
Birds Watching,"Psikolojik Korku, Kuşlar, Keşif, Korku, Kıyamet Sonrası, Önemli Seçimler, Sohbet, Felsefi, Kara Mizah, Atmosferik, Açık Dünya, Karanlık, Birden Fazla Son, Zengin Evren, Yürüme Simülatörü, Zengin Hikâye, Gizem, Tek Oyunculu, Macera, Stilize",Studio Ortica,,0,2.69,0,"Türkçe, İngilizce, İtalyanca",1,2.0,Steam
ISLANDERS: New Shores,"Basit Eğlence, Strateji, Şehir Kurma, Rahatlatıcı, İnşa Etme, Bağımsız, Renkli, Bulmaca, Atmosferik, Prosedürel Oluşturma, Koloni Simülatörü, Sıra Tabanlı Strateji, Minimalist, Puan Yarışı, Tek Oyunculu, 3D, Simülasyon, Üstten Görünüş, Tekrar Oynanabilir, İç Isıtıcı",The Station,94.0,1,5.79,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince, Ukraynaca",1,14.0,Steam
[TR&MENA] Black Desert - Explorer to Conqueror,"Strateji, Aksiyon, Macera, RYO, Devasa Çok Oyunculu, Simülasyon",Pearl Abyss,,1,9.99,16,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Rusça, Tayca, Korece, GelenekselÇince",1,9.0,Steam
Anno 1800™ - Season 2 Pass,"Strateji, Simülasyon",Ubisoft Mainz,,0,19.99,12,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,11.0,Steam
Tour de France 2025,"Simülasyon, Spor, Basit Eğlence, Tek Oyunculu, Yönetim, Strateji, Gerçekçi, Üçüncü Şahıs, Aile Dostu, Atmosferik, Birinci Şahıs, Yarış, 3D, Kontrolcü, Rahatlatıcı, Bisiklet, Motosiklet ve bisiklet, Çok Oyunculu, PvP, Eşli",Cyanide Studio,,0,19.99,3,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Danca, Felemenkçe",1,7.0,Steam
